ID,ovder,ovizq,utero
090741HO,1,0,1
090742HO,0,0,0
090743HO,0,0,0
090743JE,0,0,1
090744HO,1,0,1
090746HO,1,1,1
090759HO,1,0,1
090766HO,0,0,1
090768HO,1,1,1
090779HO,1,0,1
090780HO,0,0,0
090782HO,0,0,0
090783HO,1,0,1
090796HO,0,0,1
090797HO,0,0,0
090798HO,1,0,1
090812HO,1,1,1
090814HO,1,0,1
090816CP,0,1,1
090825HO,1,1,1
090884HO,1,1,1
090895HO,1,1,1
09092CA,0,0,0
09096CA,0,0,0
09097CA,0,0,0
099006CP,0,0,0
099008CP,0,0,0
099057CP,1,1,1
099163CP,0,0,1
099235CP,0,0,1
099687CP,1,0,1
099816CP,0,0,0
100000HO,0,0,0
100001CP,0,0,1
100001HO,1,1,1
100002HO,0,0,0
100003HO,1,1,1
100004HO,0,0,0
100005HO,0,1,0
100006HO,0,1,0
100007HO,0,0,0
100008HO,0,0,1
100009HO,1,1,1
100010HO,0,0,0
100011HO,0,1,1
100012HO,0,0,0
100013CP,0,0,1
100013HO,0,0,0
100014HO,1,1,1
100015HO,1,1,1
100016HO,0,0,0
100017HO,0,1,0
100018HO,1,1,1
100019HO,1,1,0
100021HO,1,1,1
100022HO,0,0,0
100023HO,0,0,0
100024HO,1,0,1
100025HO,1,0,0
100026HO,0,0,0
100027HO,0,1,0
100028HO,1,1,0
100029HO,1,1,1
100030HO,1,1,1
100031HO,1,1,1
100032HO,1,0,1
100033HO,0,0,1
100034HO,1,1,1
100035HO,1,0,0
100036HO,1,1,1
100037HO,1,0,1
100038HO,1,1,1
100040HO,0,1,1
100042HO,1,1,0
100043HO,0,1,1
100044HO,1,0,0
100046JE,0,0,0
100047HO,1,0,1
100048CP,1,0,0
100048HO,1,1,1
100049HO,0,0,0
100051CP,0,0,1
100051HO,0,0,0
100052HO,0,0,0
100053JE,0,0,1
100054HO,1,1,1
100055CP,0,0,1
100055HO,0,1,1
100056HO,0,0,0
100060HO,1,1,1
100062HO,0,0,0
100063HO,1,0,1
100064HO,0,0,0
100065HO,0,0,0
100066HO,1,1,1
100067HO,1,1,1
100068HO,0,0,0
100069HO,0,0,0
100070HO,0,0,0
100071HO,1,1,1
100072HO,0,0,1
100073HO,1,0,0
100074HO,0,0,1
100075HO,1,0,1
100076HO,1,1,1
100077HO,1,0,0
100078HO,1,1,1
100079HO,0,0,0
100080HO,1,1,1
100081HO,0,0,0
100082HO,1,0,1
100083HO,1,1,1
100085HO,1,0,1
100086HO,1,1,1
100087HO,0,0,0
100088HO,0,0,0
100089HO,0,0,1
100090HO,0,0,0
100091HO,1,0,1
100092HO,1,1,1
100093HO,0,0,1
100094HO,1,0,1
100096HO,0,1,1
100097HO,1,1,1
100098HO,0,0,1
100099HO,1,0,1
100100HO,0,0,1
100101HO,0,0,0
100102HO,0,0,0
100103HO,1,0,0
100104HO,0,1,1
100104ME,0,0,1
100105HO,0,0,0
100106HO,0,0,1
100107HO,1,1,0
100108HO,0,0,0
100109HO,0,0,1
100110HO,0,0,1
100111HO,0,0,0
100113HO,0,1,0
100114JE,0,0,0
100115HO,0,0,0
100116JE,1,1,1
100117HO,0,1,0
100119CP,0,0,1
100119JE,0,0,1
100120HO,0,0,0
100121HO,0,0,1
100122HO,0,0,0
100123HO,0,0,0
100125HO,0,0,0
100126HO,0,0,0
100127JE,1,0,1
100129HO,1,0,1
100130HO,0,0,0
100131HO,0,0,0
100132HO,1,1,1
100134HO,1,0,1
100135CP,1,1,1
100135HO,0,1,0
100136HO,1,0,1
100137HO,0,0,0
100138HO,1,0,0
100139HO,0,0,0
100140HO,0,0,0
100142HO,0,0,0
100143HO,0,1,0
100143ME,1,1,1
100147HO,0,0,0
100148HO,1,0,0
100150HO,1,0,1
100151HO,0,0,0
100152HO,0,0,0
100154HO,0,1,1
100156HO,1,0,1
100157HO,1,0,1
100158HO,0,0,0
100160HO,1,0,1
100164HO,0,0,0
100167HO,1,1,0
100170HO,0,0,0
100175HO,0,0,0
100178HO,1,0,1
100179HO,0,0,0
100184HO,0,0,0
100185HO,0,0,0
100186HO,0,0,0
100191HO,0,0,0
100193HO,0,0,0
100195HO,1,1,1
100196HO,1,1,1
100197HO,1,1,1
100199HO,0,0,0
100200HO,1,1,1
100201HO,1,0,1
100202HO,0,1,1
100203HO,1,0,0
100204HO,0,0,0
100206HO,1,1,1
100207HO,1,0,0
100207ME,0,0,1
100208HO,1,1,1
100209HO,1,0,1
100213HO,0,0,0
100215CP,1,1,1
100215HO,0,0,0
100218HO,1,0,1
100225HO,0,0,1
100226HO,1,0,0
100232HO,0,0,1
100234HO,0,0,0
100235HO,0,0,1
100237HO,0,0,0
100238HO,0,0,0
100242CP,0,0,1
100245CP,1,0,1
100246CP,1,1,1
100247CP,1,0,1
100249CP,1,0,1
100254HO,0,0,0
100255HO,1,0,1
100256HO,1,1,1
100258HO,1,0,1
100264CP,1,1,1
100268HO,0,0,1
100278CP,1,0,1
100280HO,0,0,0
100291HO,0,0,0
100297HO,0,0,1
100299HO,0,0,0
100301HO,1,0,1
100309CP,1,0,1
100317HO,0,0,0
100320HO,0,0,1
100321HO,0,0,0
100322HO,0,0,0
100328HO,0,0,1
100332HO,0,0,0
100337CP,1,0,1
100338HO,1,0,1
100339CP,0,0,0
100340HO,1,1,1
100344HO,0,0,0
100347HO,0,0,1
100351CP,1,1,1
